unit_id,pattern,gen_status,num_files,psr,cpc,piqs,grade,error
meta-llama-llama-3-1-8b-instruct__Builder__banking-account-management__rep0,Builder,ok,4,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__car-rental-management__rep0,Builder,ok,7,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__food-delivery-management__rep0,Builder,ok,4,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__gym-membership-platform__rep0,Builder,ok,3,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__hospital-appointment-scheduler__rep0,Builder,ok,7,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__hotel-reservation-system__rep0,Builder,ok,4,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__issue-tracking-system__rep0,Builder,ok,3,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__learning-management-system__rep0,Builder,ok,4,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__library-management-system__rep0,Builder,ok,3,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__payroll-and-hr-system__rep0,Builder,ok,5,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__school-management-platform__rep0,Builder,ok,3,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Builder__warehouse-inventory-tracker__rep0,Builder,ok,4,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Composite__banking-account-management__rep0,Composite,ok,5,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Composite__car-rental-management__rep0,Composite,ok,5,20.0,14.29,17.71,Poor,
meta-llama-llama-3-1-8b-instruct__Composite__food-delivery-management__rep0,Composite,ok,7,80.0,78.57,79.43,Good,
meta-llama-llama-3-1-8b-instruct__Composite__gym-membership-platform__rep0,Composite,ok,7,20.0,14.29,17.71,Poor,
meta-llama-llama-3-1-8b-instruct__Composite__hospital-appointment-scheduler__rep0,Composite,ok,5,80.0,85.71,82.29,Good,
meta-llama-llama-3-1-8b-instruct__Composite__hotel-reservation-system__rep0,Composite,ok,8,40.0,42.86,41.14,Poor,
meta-llama-llama-3-1-8b-instruct__Composite__issue-tracking-system__rep0,Composite,ok,6,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Composite__learning-management-system__rep0,Composite,ok,5,80.0,78.57,79.43,Good,
meta-llama-llama-3-1-8b-instruct__Composite__library-management-system__rep0,Composite,ok,6,80.0,78.57,79.43,Good,
meta-llama-llama-3-1-8b-instruct__Composite__payroll-and-hr-system__rep0,Composite,ok,4,60.0,64.29,61.71,Moderate,
meta-llama-llama-3-1-8b-instruct__Composite__school-management-platform__rep0,Composite,ok,5,80.0,78.57,79.43,Good,
meta-llama-llama-3-1-8b-instruct__Composite__warehouse-inventory-tracker__rep0,Composite,ok,7,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Decorator__banking-account-management__rep0,Decorator,ok,5,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Decorator__car-rental-management__rep0,Decorator,ok,7,66.67,66.67,66.67,Moderate,
meta-llama-llama-3-1-8b-instruct__Decorator__food-delivery-management__rep0,Decorator,ok,6,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Decorator__gym-membership-platform__rep0,Decorator,ok,5,0.0,0.0,0.0,Poor,
meta-llama-llama-3-1-8b-instruct__Decorator__hospital-appointment-scheduler__rep0,Decorator,ok,7,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Decorator__hotel-reservation-system__rep0,Decorator,ok,6,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Decorator__issue-tracking-system__rep0,Decorator,ok,7,0.0,0.0,0.0,Poor,
meta-llama-llama-3-1-8b-instruct__Decorator__learning-management-system__rep0,Decorator,ok,6,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Decorator__library-management-system__rep0,Decorator,ok,7,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Decorator__payroll-and-hr-system__rep0,Decorator,ok,6,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Decorator__school-management-platform__rep0,Decorator,ok,7,0.0,0.0,0.0,Poor,
meta-llama-llama-3-1-8b-instruct__Decorator__warehouse-inventory-tracker__rep0,Decorator,ok,5,100.0,100.0,100.0,Excellent,
meta-llama-llama-3-1-8b-instruct__Factory Method__banking-account-management__rep0,Factory Method,ok,5,80.0,84.62,81.85,Good,
meta-llama-llama-3-1-8b-instruct__Factory Method__car-rental-management__rep0,Factory Method,ok,5,80.0,84.62,81.85,Good,
meta-llama-llama-3-1-8b-instruct__Factory Method__food-delivery-management__rep0,Factory Method,ok,7,80.0,84.62,81.85,Good,
meta-llama-llama-3-1-8b-instruct__Factory Method__gym-membership-platform__rep0,Factory Method,ok,5,60.0,61.54,60.62,Moderate,
meta-llama-llama-3-1-8b-instruct__Factory Method__hospital-appointment-scheduler__rep0,Factory Method,ok,8,80.0,84.62,81.85,Good,
meta-llama-llama-3-1-8b-instruct__Factory Method__hotel-reservation-system__rep0,Factory Method,ok,7,80.0,84.62,81.85,Good,
meta-llama-llama-3-1-8b-instruct__Factory Method__issue-tracking-system__rep0,Factory Method,ok,5,20.0,23.08,21.23,Poor,
meta-llama-llama-3-1-8b-instruct__Factory Method__learning-management-system__rep0,Factory Method,ok,8,60.0,61.54,60.62,Moderate,
meta-llama-llama-3-1-8b-instruct__Factory Method__library-management-system__rep0,Factory Method,ok,6,80.0,84.62,81.85,Good,
meta-llama-llama-3-1-8b-instruct__Factory Method__payroll-and-hr-system__rep0,Factory Method,ok,9,20.0,23.08,21.23,Poor,
